Symbol,Security,GICS Sector,GICS Sub-Industry,Yahoo_Symbol
FCX,Freeport-McMoRan,Materials,Copper,FCX
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,GRMN
IT,Gartner,Information Technology,IT Consulting & Other Services,IT
GE,GE Aerospace,Industrials,Aerospace & Defense,GE
GEHC,GE HealthCare,Health Care,Health Care Equipment,GEHC
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,GEV
GEN,Gen Digital,Information Technology,Systems Software,GEN
GNRC,Generac,Industrials,Heavy Electrical Equipment,GNRC
GD,General Dynamics,Industrials,Aerospace & Defense,GD
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,GIS
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,GM
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,GPC
GILD,Gilead Sciences,Health Care,Biotechnology,GILD
GPN,Global Payments,Financials,Transaction & Payment Processing Services,GPN
GL,Globe Life,Financials,Life & Health Insurance,GL
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,GDDY
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,GS
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,HAL
HIG,Hartford (The),Financials,Property & Casualty Insurance,HIG
HAS,Hasbro,Consumer Discretionary,Leisure Products,HAS
HCA,HCA Healthcare,Health Care,Health Care Facilities,HCA
DOC,Healthpeak Properties,Real Estate,Health Care REITs,DOC
HSIC,Henry Schein,Health Care,Health Care Distributors,HSIC
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,HSY
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",HPE
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",HLT
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,HD
HONA,Honeywell Aerospace,Industrials,Aerospace & Defense,HONA
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,HON
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,HRL
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,HST
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,HWM
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",HPQ
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,HUBB
HUM,Humana,Health Care,Managed Health Care,HUM
HBAN,Huntington Bancshares,Financials,Regional Banks,HBAN
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,HII
IBM,IBM,Information Technology,IT Consulting & Other Services,IBM
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,IEX
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,IDXX
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,ITW
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services,ILMN
INCY,Incyte,Health Care,Biotechnology,INCY
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,IR
PODD,Insulet Corporation,Health Care,Health Care Equipment,PODD
INTC,Intel,Information Technology,Semiconductors,INTC
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,IBKR
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,ICE
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,IFF
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,IP
INTU,Intuit,Information Technology,Application Software,INTU
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,ISRG
IVZ,Invesco,Financials,Asset Management & Custody Banks,IVZ
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,INVH
IQV,IQVIA,Health Care,Life Sciences Tools & Services,IQV
IRM,Iron Mountain,Real Estate,Other Specialized REITs,IRM
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,JBHT
JBL,Jabil,Information Technology,Electronic Manufacturing Services,JBL
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,JKHY
J,Jacobs Solutions,Industrials,Construction & Engineering,J
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,JNJ
JCI,Johnson Controls,Industrials,Building Products,JCI
JPM,JPMorgan Chase,Financials,Diversified Banks,JPM
KVUE,Kenvue,Consumer Staples,Personal Care Products,KVUE
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,KDP
KEY,KeyCorp,Financials,Regional Banks,KEY
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,KEYS
KMB,Kimberly-Clark,Consumer Staples,Household Products,KMB
KIM,Kimco Realty,Real Estate,Retail REITs,KIM
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,KMI
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,KKR
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,KLAC
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,KHC
KR,Kroger,Consumer Staples,Food Retail,KR
LHX,L3Harris,Industrials,Aerospace & Defense,LHX
LH,Labcorp,Health Care,Health Care Services,LH
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,LRCX
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,LVS
LDOS,Leidos,Industrials,Diversified Support Services,LDOS
LEN,Lennar,Consumer Discretionary,Homebuilding,LEN
LII,Lennox International,Industrials,Building Products,LII
LLY,Lilly (Eli),Health Care,Pharmaceuticals,LLY
LIN,Linde plc,Materials,Industrial Gases,LIN
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,LYV
LMT,Lockheed Martin,Industrials,Aerospace & Defense,LMT
L,Loews Corporation,Financials,Multi-line Insurance,L
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,LOW
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",LULU
LITE,Lumentum,Information Technology,Communications Equipment,LITE
LYB,LyondellBasell,Materials,Specialty Chemicals,LYB
MTB,M&T Bank,Financials,Regional Banks,MTB
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,MPC
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",MAR
MRSH,Marsh McLennan,Financials,Insurance Brokers,MRSH
MLM,Martin Marietta Materials,Materials,Construction Materials,MLM
MRVL,Marvell Technology,Information Technology,Semiconductors,MRVL
MAS,Masco,Industrials,Building Products,MAS
MA,Mastercard,Financials,Transaction & Payment Processing Services,MA
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,MKC
MCD,McDonald's,Consumer Discretionary,Restaurants,MCD
MCK,McKesson Corporation,Health Care,Health Care Distributors,MCK
MDT,Medtronic,Health Care,Health Care Equipment,MDT
MRK,Merck & Co.,Health Care,Pharmaceuticals,MRK
META,Meta Platforms,Communication Services,Interactive Media & Services,META
MET,MetLife,Financials,Life & Health Insurance,MET
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,MTD
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,MGM
MCHP,Microchip Technology,Information Technology,Semiconductors,MCHP
MU,Micron Technology,Information Technology,Semiconductors,MU
MSFT,Microsoft,Information Technology,Systems Software,MSFT
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,MAA
MRNA,Moderna,Health Care,Biotechnology,MRNA
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,MDLZ
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,MPWR
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,MNST
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,MCO
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,MS
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,MOS
MSI,Motorola Solutions,Information Technology,Communications Equipment,MSI
MSCI,MSCI,Financials,Financial Exchanges & Data,MSCI
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,NDAQ
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",NTAP
NFLX,Netflix,Communication Services,Movies & Entertainment,NFLX
NEM,Newmont,Materials,Gold,NEM
NWSA,News Corp (Class A),Communication Services,Publishing,NWSA
NWS,News Corp (Class B),Communication Services,Publishing,NWS
NEE,NextEra Energy,Utilities,Multi-Utilities,NEE
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NKE
NI,NiSource,Utilities,Multi-Utilities,NI
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,NDSN
NSC,Norfolk Southern,Industrials,Rail Transportation,NSC
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,NTRS
NOC,Northrop Grumman,Industrials,Aerospace & Defense,NOC
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NCLH
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,NRG
NUE,Nucor,Materials,Steel,NUE
NVDA,Nvidia,Information Technology,Semiconductors,NVDA
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,NVR
NXPI,NXP Semiconductors,Information Technology,Semiconductors,NXPI
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,ORLY
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,OXY
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,ODFL
OMC,Omnicom Group,Communication Services,Advertising,OMC
ON,ON Semiconductor,Information Technology,Semiconductors,ON
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,OKE
ORCL,Oracle Corporation,Information Technology,Application Software,ORCL
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,OTIS
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,PCAR
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,PKG
PLTR,Palantir Technologies,Information Technology,Application Software,PLTR
PANW,Palo Alto Networks,Information Technology,Systems Software,PANW
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,PSKY
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,PH
PAYX,Paychex,Industrials,Human Resource & Employment Services,PAYX
PYPL,PayPal,Financials,Transaction & Payment Processing Services,PYPL
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,PNR
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,PEP
PFE,Pfizer,Health Care,Pharmaceuticals,PFE
PCG,PG&E Corporation,Utilities,Multi-Utilities,PCG
PM,Philip Morris International,Consumer Staples,Tobacco,PM
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,PSX
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,PNW
PNC,PNC Financial Services,Financials,Diversified Banks,PNC
PPG,PPG Industries,Materials,Specialty Chemicals,PPG
PPL,PPL Corporation,Utilities,Electric Utilities,PPL
PFG,Principal Financial Group,Financials,Life & Health Insurance,PFG
PG,Procter & Gamble,Consumer Staples,Personal Care Products,PG
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,PGR
PLD,Prologis,Real Estate,Industrial REITs,PLD
PRU,Prudential Financial,Financials,Life & Health Insurance,PRU
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,PEG
PTC,PTC Inc.,Information Technology,Application Software,PTC
PSA,Public Storage,Real Estate,Self-Storage REITs,PSA
PHM,PulteGroup,Consumer Discretionary,Homebuilding,PHM
PWR,Quanta Services,Industrials,Construction & Engineering,PWR
QCOM,Qualcomm,Information Technology,Semiconductors,QCOM
DGX,Quest Diagnostics,Health Care,Health Care Services,DGX
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,Q
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",RL
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,RJF
RDDT,Reddit,Communication Services,Interactive Media & Services,RDDT
RTX,RTX Corporation,Industrials,Aerospace & Defense,RTX
O,Realty Income,Real Estate,Retail REITs,O
REG,Regency Centers,Real Estate,Retail REITs,REG
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,REGN
RF,Regions Financial Corporation,Financials,Regional Banks,RF
RSG,Republic Services,Industrials,Environmental & Facilities Services,RSG
RMD,ResMed|,Health Care,Health Care Equipment,RMD
RVTY,Revvity,Health Care,Health Care Equipment,RVTY
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,HOOD
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,ROK
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,ROL
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,ROP
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,ROST
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",RCL
SPGI,S&P Global,Financials,Financial Exchanges & Data,SPGI
CRM,Salesforce,Information Technology,Application Software,CRM
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",SNDK
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,SBAC
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,SLB
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",STX
SRE,Sempra,Utilities,Multi-Utilities,SRE
NOW,ServiceNow,Information Technology,Systems Software,NOW
SHW,Sherwin-Williams,Materials,Specialty Chemicals,SHW
SPG,Simon Property Group,Real Estate,Retail REITs,SPG
SWKS,Skyworks Solutions,Information Technology,Semiconductors,SWKS
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,SJM
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,SW
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,SNA
SOLV,Solventum,Health Care,Health Care Technology,SOLV
SO,Southern Company,Utilities,Electric Utilities,SO
LUV,Southwest Airlines,Industrials,Passenger Airlines,LUV
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,SWK
SBUX,Starbucks,Consumer Discretionary,Restaurants,SBUX
STT,State Street Corporation,Financials,Asset Management & Custody Banks,STT
STLD,Steel Dynamics,Materials,Steel,STLD
STE,Steris,Health Care,Health Care Equipment,STE
SYK,Stryker Corporation,Health Care,Health Care Equipment,SYK
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",SMCI
SYF,Synchrony Financial,Financials,Consumer Finance,SYF
SNPS,Synopsys,Information Technology,Application Software,SNPS
SYY,Sysco,Consumer Staples,Food Distributors,SYY
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,TMUS
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,TROW
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,TTWO
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",TPR
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,TRGP
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,TGT
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,TEL
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,TDY
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,TER
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,TSLA
TXN,Texas Instruments,Information Technology,Semiconductors,TXN
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,TPL
TXT,Textron,Industrials,Aerospace & Defense,TXT
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,TMO
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,TJX
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,TKO
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,TSCO
TT,Trane Technologies,Industrials,Building Products,TT
TDG,TransDigm Group,Industrials,Aerospace & Defense,TDG
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,TRV
TRMB,Trimble Inc.,Information Technology,Application Software,TRMB
TFC,Truist Financial,Financials,Diversified Banks,TFC
TYL,Tyler Technologies,Information Technology,Application Software,TYL
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,TSN
USB,U.S. Bancorp,Financials,Diversified Banks,USB
UBER,Uber,Industrials,Passenger Ground Transportation,UBER
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,UDR
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,ULTA
UNP,Union Pacific Corporation,Industrials,Rail Transportation,UNP
UAL,United Airlines Holdings,Industrials,Passenger Airlines,UAL
UPS,United Parcel Service,Industrials,Air Freight & Logistics,UPS
URI,United Rentals,Industrials,Trading Companies & Distributors,URI
UNH,UnitedHealth Group,Health Care,Managed Health Care,UNH
UHS,Universal Health Services,Health Care,Health Care Facilities,UHS
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,VLO
VEEV,Veeva Systems,Health Care,Health Care Technology,VEEV
VTR,Ventas,Real Estate,Health Care REITs,VTR
VLTO,Veralto,Industrials,Environmental & Facilities Services,VLTO
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,VRSN
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,VRSK
VZ,Verizon,Communication Services,Integrated Telecommunication Services,VZ
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,VRTX
VRT,Vertiv,Industrials,Electrical Components & Equipment,VRT
VTRS,Viatris,Health Care,Pharmaceuticals,VTRS
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,VICI
V,Visa Inc.,Financials,Transaction & Payment Processing Services,V
VST,Vistra Corp.,Utilities,Electric Utilities,VST
VMRK,Vivmark Residential,Real Estate,Multi-Family Residential REITs,VMRK
VMC,Vulcan Materials Company,Materials,Construction Materials,VMC
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,WRB
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,GWW
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,WAB
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,WMT
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,DIS
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,WBD
WM,Waste Management,Industrials,Environmental & Facilities Services,WM
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,WAT
WEC,WEC Energy Group,Utilities,Electric Utilities,WEC
WFC,Wells Fargo,Financials,Diversified Banks,WFC
WELL,Welltower,Real Estate,Health Care REITs,WELL
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,WST
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",WDC
WY,Weyerhaeuser,Real Estate,Timber REITs,WY
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,WSM
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,WMB
WTW,Willis Towers Watson,Financials,Insurance Brokers,WTW
WDAY,"Workday, Inc.",Information Technology,Application Software,WDAY
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,WYNN
XEL,Xcel Energy,Utilities,Multi-Utilities,XEL
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,XYL
YUM,Yum! Brands,Consumer Discretionary,Restaurants,YUM
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,ZBRA
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,ZBH
ZTS,Zoetis,Health Care,Pharmaceuticals,ZTS
